Region,Age,Year,Total_Deaths
03,4,2002,0
03,4,2003,0
03,4,2004,0
03,4,2005,0
03,4,2006,0
03,4,2007,0
03,4,2008,1
03,4,2009,0
03,4,2010,0
03,4,2011,0
03,4,2012,0
03,4,2013,1
03,4,2014,1
03,4,2015,1
03,4,2016,0
03,4,2017,2
03,4,2018,0
03,4,2019,1
03,4,2020,2
03,4,2021,0
03,4,2022,0
03,4,2023,2
03,5,2000,0
03,5,2001,0
03,5,2002,1
03,5,2003,0
03,5,2004,0
03,5,2005,2
03,5,2006,1
03,5,2007,1
03,5,2008,0
03,5,2009,0
03,5,2010,2
03,5,2011,0
03,5,2012,1
03,5,2013,0
03,5,2014,0
03,5,2015,1
03,5,2016,1
03,5,2017,0
03,5,2018,0
03,5,2019,0
03,5,2020,1
03,5,2021,2
03,5,2022,0
03,5,2023,0
03,6,2000,1
03,6,2001,1
03,6,2002,0
03,6,2003,1
03,6,2004,0
03,6,2005,0
03,6,2006,0
03,6,2007,0
03,6,2008,0
03,6,2009,1
03,6,2010,0
03,6,2011,0
03,6,2012,0
03,6,2013,0
03,6,2014,0
03,6,2015,0
03,6,2016,0
03,6,2017,0
03,6,2018,0
03,6,2019,1
03,6,2020,0
03,6,2021,0
03,6,2022,1
03,6,2023,0
03,7,2000,0
03,7,2001,0
03,7,2002,0
03,7,2003,0
03,7,2004,0
03,7,2005,0
03,7,2006,0
03,7,2007,0
03,7,2008,0
03,7,2009,0
03,7,2010,1
03,7,2011,0
03,7,2012,0
03,7,2013,0
03,7,2014,0
03,7,2015,0
03,7,2016,0
03,7,2017,1
03,7,2018,0
03,7,2019,0
03,7,2020,1
03,7,2021,0
03,7,2022,0
03,7,2023,0
03,8,2000,0
03,8,2001,0
03,8,2002,1
03,8,2003,0
03,8,2004,1
03,8,2005,0
03,8,2006,0
03,8,2007,1
03,8,2008,0
03,8,2009,0
03,8,2010,0
03,8,2011,0
03,8,2012,1
03,8,2013,0
03,8,2014,0
03,8,2015,1
03,8,2016,1
03,8,2017,0
03,8,2018,1
03,8,2019,0
03,8,2020,0
03,8,2021,0
03,8,2022,0
03,8,2023,1
03,9,2000,0
03,9,2001,0
03,9,2002,0
03,9,2003,0
03,9,2004,0
03,9,2005,0
03,9,2006,1
03,9,2007,0
03,9,2008,0
03,9,2009,0
03,9,2010,0
03,9,2011,1
03,9,2012,0
03,9,2013,0
03,9,2014,0
03,9,2015,0
03,9,2016,0
03,9,2017,0
03,9,2018,0
03,9,2019,1
03,9,2020,0
03,9,2021,1
03,9,2022,0
03,9,2023,1
03,10,2000,1
03,10,2001,0
03,10,2002,0
03,10,2003,0
03,10,2004,0
03,10,2005,0
03,10,2006,0
03,10,2007,0
03,10,2008,0
03,10,2009,0
03,10,2010,0
03,10,2011,0
03,10,2012,1
03,10,2013,0
03,10,2014,0
03,10,2015,1
03,10,2016,0
03,10,2017,1
03,10,2018,0
03,10,2019,0
03,10,2020,0
03,10,2021,1
03,10,2022,0
03,10,2023,0
03,11,2000,0
03,11,2001,2
03,11,2002,2
03,11,2003,1
03,11,2004,0
03,11,2005,0
03,11,2006,0
03,11,2007,0
03,11,2008,0
03,11,2009,0
03,11,2010,0
03,11,2011,0
03,11,2012,0
03,11,2013,0
03,11,2014,0
03,11,2015,0
03,11,2016,0
03,11,2017,0
03,11,2018,0
03,11,2019,0
03,11,2020,0
03,11,2021,0
03,11,2022,0
03,11,2023,0
03,12,2000,0
03,12,2001,0
03,12,2002,1
03,12,2003,0
03,12,2004,1
03,12,2005,0
03,12,2006,1
03,12,2007,0
03,12,2008,1
03,12,2009,0
03,12,2010,1
03,12,2011,0
03,12,2012,1
03,12,2013,0
03,12,2014,0
03,12,2015,0
03,12,2016,0
03,12,2017,0
03,12,2018,1
03,12,2019,0
03,12,2020,0
03,12,2021,0
03,12,2022,0
03,12,2023,1
03,13,2000,1
03,13,2001,0
03,13,2002,1
03,13,2003,1
03,13,2004,1
03,13,2005,0
03,13,2006,0
03,13,2007,1
03,13,2008,1
03,13,2009,0
03,13,2010,0
03,13,2011,0
03,13,2012,0
03,13,2013,0
03,13,2014,0
03,13,2015,0
03,13,2016,0
03,13,2017,0
03,13,2018,0
03,13,2019,0
03,13,2020,0
03,13,2021,1
03,13,2022,1
03,13,2023,0
03,14,2000,1
03,14,2001,1
03,14,2002,1
03,14,2003,0
03,14,2004,2
03,14,2005,1
03,14,2006,0
03,14,2007,0
03,14,2008,0
03,14,2009,0
03,14,2010,0
03,14,2011,0
03,14,2012,1
03,14,2013,1
03,14,2014,0
03,14,2015,1
03,14,2016,0
03,14,2017,1
03,14,2018,0
03,14,2019,0
03,14,2020,1
03,14,2021,2
03,14,2022,0
03,14,2023,0
03,15,2000,0
03,15,2001,1
03,15,2002,1
03,15,2003,0
03,15,2004,2
03,15,2005,0
03,15,2006,2
03,15,2007,0
03,15,2008,1
03,15,2009,0
03,15,2010,0
03,15,2011,1
03,15,2012,0
03,15,2013,0
03,15,2014,0
03,15,2015,0
03,15,2016,1
03,15,2017,0
03,15,2018,1
03,15,2019,1
03,15,2020,0
03,15,2021,0
03,15,2022,0
03,15,2023,2
03,16,2000,1
03,16,2001,2
03,16,2002,0
03,16,2003,1
03,16,2004,0
03,16,2005,0
03,16,2006,1
03,16,2007,1
03,16,2008,0
03,16,2009,0
03,16,2010,0
03,16,2011,2
03,16,2012,1
03,16,2013,0
03,16,2014,0
03,16,2015,0
03,16,2016,1
03,16,2017,0
03,16,2018,3
03,16,2019,3
03,16,2020,0
03,16,2021,0
03,16,2022,1
03,16,2023,1
03,17,2000,1
03,17,2001,2
03,17,2002,0
03,17,2003,1
03,17,2004,1
03,17,2005,2
03,17,2006,2
03,17,2007,4
03,17,2008,3
03,17,2009,3
03,17,2010,3
03,17,2011,0
03,17,2012,0
03,17,2013,0
03,17,2014,3
03,17,2015,0
03,17,2016,1
03,17,2017,0
03,17,2018,2
03,17,2019,2
03,17,2020,1
03,17,2021,1
03,17,2022,0
03,17,2023,1
03,18,2000,3
03,18,2001,1
03,18,2002,0
03,18,2003,1
03,18,2004,3
03,18,2005,0
03,18,2006,1
03,18,2007,3
03,18,2008,0
03,18,2009,2
03,18,2010,2
03,18,2011,1
03,18,2012,2
03,18,2013,0
03,18,2014,1
03,18,2015,1
03,18,2016,0
03,18,2017,2
03,18,2018,4
03,18,2019,2
03,18,2020,2
03,18,2021,0
03,18,2022,1
03,18,2023,1
